ID,Work Item Type,Title,Test Step,Step Action,Step Expected,Area Path,Assigned To,State
,,,"5","Steps:",,,,
,,,"6","Create a link (UC-3.5) with Entity Group 'EG1'.",,,,
,,,"7","Create a new request (UC-3.8).",,,,
,,,"8","Open the Entity dropdown in the request form.","Entity dropdown shows only entities from the linked Entity Group 'EG1'.",,,
"179136","Test Case","Check in case the form linked to 2 or more entity group",,,,"Bravo-Product","Isadora Medhat <CODELABSYS\Isadora.Medhat>","Design"
,,,"1","Preconditions:",,,,
,,,"2","In entities dropdown static field -> properties:",,,,
,,,"3","Select (internal lookup -> entities)",,,,
,,,"4","Save the form and activate it.",,,,
,,,"5","Steps:",,,,
,,,"6","Create a link (UC-3.5) with Entity Group 'EG1'.",,,,
,,,"7","Create a link with EG2, EG3, ...",,,,
,,,"8","Create a new request (UC-3.8).",,,,
,,,"9","Open the Entity dropdown in the request form.","All entities linked to the same form will be displayed.",,,
"179137","Test Case","TC-3.2-I02: BR05 - default version should be used for new Requests",,,,"Bravo-Product","Isadora Medhat <CODELABSYS\Isadora.Medhat>","Design"
,,,"1","Build form version 1.",,,,
,,,"2","Create request (uses version 1).",,,,
,,,"3","Edit form (creates version 2).",,,,
,,,"4","Create another request.","New request uses the default (latest) form version 2. Old request retains version 1.",,,
"179138","Test Case","Check that all properties are optional (Can Be Filtered By, can be sorted by, View With Request Information - Tablet and View With Request Information - assignment)",,,,"Bravo-Product","Isadora Medhat <CODELABSYS\Isadora.Medhat>","Design"
,,,"1","1- For all fields , don't select any of the properties: (Can Be Filtered By, can be sorted by, View With Request Information - Tablet and View With Request Information - assignment).",,,,
,,,"2","2- Press on save button.","Should be saved without errors.",,,
"179139","Test Case","Check to delete/ copy any field (except the 2 static fields)",,,,"Bravo-Product","Isadora Medhat <CODELABSYS\Isadora.Medhat>","Design"
,,,"1","1- In form builder, drag and drop one or more field.",,,,
,,,"2","2- Then delete one or more field.",,,,
,,,"3","3- Repeat when copy any field (except the 2 static fields).","1- Should be deleted correctly and not displayed in WF.
2- Any field can be copied except the 2 static fields (location and entity).",,,
"179140","Test Case","Check to preview the fields dragged and droped",,,,"Bravo-Product","Isadora Medhat <CODELABSYS\Isadora.Medhat>","Design"
,,,"1","1- In form builder, drag and drop one or more field.",,,,
,,,"2","2- Press on preview button.","All fields dragged and dropped will be displayed.",,,
"179141","Test Case","Check to press on ""delete"" for all fields of the form",,,,"Bravo-Product","Isadora Medhat <CODELABSYS\Isadora.Medhat>","Design"
,,,"1","1- In form builder, drag and drop one or more field.",,,,
,,,"2","2- Press on delete button.",,,,
,,,"3","3- Then press on (new version) button.","1- All fields will be cleared except the 2 static fields.
2- The new version will only be saved with the 2 static fields.",,,
"179142","Test Case","Check to press on ""cancel"" of adding/ editing the form",,,,"Bravo-Product","Isadora Medhat <CODELABSYS\Isadora.Medhat>","Design"
,,,"1","1- In form builder, drag and drop one or more field.",,,,
,,,"2","2- Press on cancel button.","The added/ updated fields will be removed.",,,
